city,state,zip,latitude,longitude
"Canton","Massachusetts","02021","42.17504","-71.12645"
"Cohasset","Massachusetts","02025","42.23603","-70.81906"
"Dedham","Massachusetts","02026","42.24665","-71.1777"
"Dover","Massachusetts","02030","42.2366","-71.28421"
"East Walpole","Massachusetts","02032","42.15489","-71.2155"
"Foxboro","Massachusetts","02035","42.06266","-71.24613"
"Franklin","Massachusetts","02038","42.08622","-71.41126"
"Hingham","Massachusetts","02043","42.21678","-70.88494"
"Hull","Massachusetts","02045","42.28437","-70.88266"
"Humarock","Massachusetts","02047","42.14582","-70.69603"
"Mansfield","Massachusetts","02048","42.01626","-71.21868"
"Marshfield","Massachusetts","02050","42.11443","-70.71487"
"Medfield","Massachusetts","02052","42.1848","-71.30501"
"Medway","Massachusetts","02053","42.15352","-71.42906"
"Millis","Massachusetts","02054","42.1693","-71.36261"
"Norfolk","Massachusetts","02056","42.11632","-71.32952"
"Norwell","Massachusetts","02061","42.16075","-70.81772"
"Norwood","Massachusetts","02062","42.18563","-71.19464"
"Scituate","Massachusetts","02066","42.20129","-70.76155"
"Sharon","Massachusetts","02067","42.10778","-71.18183"
"South Walpole","Massachusetts","02071","42.10392","-71.27002"
"Stoughton","Massachusetts","02072","42.1192","-71.10189"
"Walpole","Massachusetts","02081","42.14689","-71.25916"
"Westwood","Massachusetts","02090","42.22024","-71.21057"
"Wrentham","Massachusetts","02093","42.05129","-71.35522"
"Boston","Massachusetts","02108","42.35657","-71.06516"
"Boston","Massachusetts","02109","42.36498","-71.05277"
"Boston","Massachusetts","02110","42.35797","-71.05189"
"Boston","Massachusetts","02111","42.35067","-71.06054"
"Boston","Massachusetts","02113","42.36526","-71.05524"
"Boston","Massachusetts","02114","42.36337","-71.06686"
"Boston","Massachusetts","02115","42.34046","-71.09481"
"Boston","Massachusetts","02116","42.35105","-71.07638"
"Boston","Massachusetts","02118","42.33806","-71.07057"
"Roxbury","Massachusetts","02119","42.32405","-71.08522"
"Roxbury Crossing","Massachusetts","02120","42.33212","-71.09654"
"Dorchester","Massachusetts","02121","42.3057","-71.08693"
